state,x,y
Alabama,124,-103
Alaska,-222,-181
Arizona,-220,-38
Arkansas,42,-46
California,-312,17
Colorado,-127,25
Connecticut,284,93
Delaware,265,42
Florida,207,-147
Georgia,174,-82
Hawaii,-310,-165
Idaho,-224,118
Illinois,80,36
Indiana,121,41
Iowa,25,70
Kansas,-35,10
Kentucky,135,0
Louisiana,53,-124
Maine,304,162
Maryland,273,27
Massachusetts,287,111
Michigan,135,94
Minnesota,13,152
Mississippi,83,-81
Missouri,43,3
Montana,-157,164
Nebraska,-49,60
Nevada,-271,58
New Hampshire,288,128
New Jersey,266,60
New Mexico,-143,-49
New York,243,108
North Carolina,221,-21
North Dakota,-54,159
Ohio,161,50
Oklahoma,-24,-41
Oregon,-300,141
Pennsylvania,221,70
Rhode Island,300,99
South Carolina,217,-55
South Dakota,-54,112
Tennessee,122,-30
Texas,-47,-105
Utah,-203,41
Vermont,272,143
Virginia,224,12
Washington,-280,180
West Virginia,190,25
Wisconsin,68,118
Wyoming,-145,95
